"Variables","Estimate","Std. Error","t value","Pr(>|t|)","significance","impact"
"CompanyGeico",-0.0522583963267806,0.194989451474947,-0.268006273834228,0.788697189417887,"",-5.09164045592301
"CompanyGenentech",0.264933885974761,0.196187489318763,1.35041172551171,0.176898878016832,"",30.3344803558567
"CompanyGeneral Atomics",-0.281826043814149,0.177920296347774,-1.58400165466943,0.113208787454672,"",-24.5595093480554
"CompanyGeneral Electric",-0.0541749329294714,0.210680156387378,-0.257143025989879,0.797070948053352,"",-5.27336160764766
"CompanyGeneral Motors",-0.112526670781921,0.144251624516349,-0.780072121608367,0.435357442553086,"",-10.6426485513636
"CompanyGithub",0.532018713956127,0.157651936594797,3.37464115853866,0.000740491640187498,"***",70.2365431060678
"CompanyGlassdoor",0.33352338491693,0.177970949821731,1.87403272978546,0.060940144159424,".",39.5877688643645
"CompanyGodaddy",0.162930513515963,0.144608441046104,1.12670126541242,0.25988201240483,"",17.6954904388838
"CompanyGoldman Sachs",0.268813517665614,0.139971574243588,1.92048649247745,0.054810351987411,".",30.8411122734118
"CompanyGoogle",0.610479563090213,0.137937597823425,4.42576623577055,9.65968724713455e-06,"***",84.1314213416301
"CompanyGrab",0.623580427824173,0.210511466836276,2.96221596474438,0.00305784318106543,"**",86.5595728993785
"CompanyGroupon",0.284299844263809,0.144537413879025,1.96696368527642,0.0492008805081844,"*",32.8831313470338
"CompanyGrubhub",0.317642566624038,0.15174033417252,2.09332982134398,0.03633199476702,"*",37.3885101064415
"CompanyGuidewire",0.150829518507861,0.165700351489847,0.910254668452542,0.362698935107655,"",16.2798405575869
"CompanyGusto",0.25069153318518,0.153233704015098,1.6360077882114,0.101853328288872,"",28.4913669966908
"CompanyHashicorp",0.0773796345889129,0.194984987425043,0.396849191369975,0.691482809799027,"",8.04521755612695
"CompanyHbo",0.408287383247712,0.163123702072592,2.50293107660111,0.0123246802777097,"*",50.4239392261034
"CompanyHere Technologies",0.1936375162894,0.168830051784684,1.14693749271814,0.251420858677879,"",21.3656272583676
"CompanyHitachi",0.0345798215851149,0.194844470218896,0.177473969603893,0.859137865563669,"",3.51846551584314
"CompanyHomeaway",0.438513882202364,0.210645043072835,2.08176691843984,0.0373761554961484,"*",55.0401426443074
"CompanyHoneywell",-0.0484668413815404,0.161139414662968,-0.300775831182653,0.763588493538549,"",-4.7311071369202
"CompanyHouzz",0.554465687139435,0.168715440641498,3.28639563178817,0.00101649071913601,"**",74.1010491912853
"CompanyHp",-0.113761601520154,0.155133917122372,-0.733312248090902,0.463376402513303,"",-10.7529305820043
"CompanyHpe",0.0865868222962471,0.149794669646953,0.578036738558999,0.5632456730636,"",9.04460386369548
"CompanyHuawei",0.777487297406611,0.238629832907942,3.25813117300613,0.0011233127170641,"**",117.599775526766
"CompanyHubspot",0.275865602868232,0.145510929759534,1.89584111189529,0.0579951254143069,".",31.767076095561
"CompanyHudson River Trading",0.791183408947683,0.185013212431274,4.27636166385457,1.90832954077633e-05,"***",120.600548879154
"CompanyHulu",0.523414471743655,0.149554930076636,3.49981422528461,0.000466572012528043,"***",68.7780701808379
"CompanyHumana",0.238335852197178,0.194872890925086,1.2230323626122,0.22133155019159,"",26.9135363156017
"CompanyIbm",0.0663782253758253,0.138829090853244,0.478129079199931,0.632563441137396,"",6.86308240344786
"CompanyIcims",0.0523215427684755,0.238645119277054,0.219244135086346,0.826462062389873,"",5.37145023258228
"CompanyIheartradio",0.188461988553951,0.178089997586522,1.05824016569145,0.289958448853947,"",20.7391187429362
"CompanyIhs Markit",-0.310353163709968,0.177955080929724,-1.74399720473578,0.0811745848086801,".",-26.6812024889779
"CompanyIndeed",0.517036944421447,0.142631743694052,3.6249780801285,0.000289686410142107,"***",67.7051084848347
"CompanyInformatica",0.011639355594673,0.168839012172658,0.0689375959080499,0.945039965703592,"",1.17073564666812
"CompanyInfosys",-0.462990539095743,0.165716169413917,-2.79387666715436,0.00521287266623946,"**",-37.0601412840233
"CompanyInstacart",0.784162774891821,0.145802935688104,5.37823721580798,7.60432749154015e-08,"***",119.057217076001
